B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
643,1028,1321,1562,1807,1869,1963,2189,1763,0
482,781,952,1296,1608,1647,1704,1678,1190,0
764,1061,1084,1696,2294,2443,2536,2150,1429,0
454,886,605,1533,3781,4081,4307,1997,1159,0
393,662,610,1263,2849,3081,3246,1338,939,0
164,279,111,666,2070,2195,2217,561,266,0
1832,2088,2107,3109,4877,4695,4806,767,602,1
369,809,599,2035,4302,4353,4457,1238,625,0
4880,4818,5397,5540,5407,5162,5675,1127,1057,1
315,614,870,1319,1509,1544,1622,1599,1147,0
485,814,886,1458,1817,1921,2050,1879,1306,0
491,857,666,1450,3581,3891,4085,2160,1337,0
331,721,470,1152,3671,4301,4665,1452,730,0
442,835,436,1321,3652,4258,4697,1342,629,0
336,794,413,1304,3091,3556,3867,1150,533,0
362,783,601,1413,2727,3086,3582,1406,717,0
546,815,1021,1456,2092,2278,2737,2896,1950,0
12000,12000,12000,12000,12000,12000,12000,7482,5672,1
807,1183,1617,1778,2015,2199,2538,3003,2392,0
556,758,1062,1226,1512,1658,1853,2061,1389,0
853,1256,1608,1892,2319,2512,2715,3014,2363,0
810,1158,1523,1694,1899,2005,2165,2570,2154,0
801,1155,1449,1695,1984,2049,2143,2519,2062,0
