B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
410,718,754,1114,1917,2055,2200,1890,1280,0
497,696,869,1141,1782,1863,1884,1796,1207,0
576,824,914,1223,1762,1884,1997,1845,1246,0
516,716,797,1147,1730,1785,1887,1793,1337,0
9822,9140,8612,9476,9070,8499,8346,3248,3714,1
291,518,725,1117,1426,1488,1605,1326,958,0
0,213,602,1071,1404,1420,1544,1275,989,0
288,583,791,1250,1540,1529,1650,1376,982,0
8446,8092,8707,9825,9480,8752,8770,918,1037,1
333,665,808,1309,1791,1843,2206,1757,1308,0
4025,3821,3798,4076,4127,3963,3971,4582,3703,1
554,975,1015,1740,2814,3046,3366,2511,1956,0
335,570,507,1242,2530,3058,3300,1842,1219,0
433,714,508,1095,2996,3642,3918,1930,1001,0
298,559,465,886,2245,2738,2901,1495,761,0
309,591,607,967,2241,2812,2808,1742,975,0
615,946,1203,1441,2481,2942,3160,2635,1590,0
656,970,1252,1465,2448,2896,3046,2732,1689,0
651,908,1062,1271,2285,2736,2947,2154,1361,0
387,438,418,460,798,942,835,525,301,0
596,856,956,1188,2185,2614,2734,2048,1309,0
742,1080,1276,1397,2152,2437,2591,2218,1491,0
759,1034,1265,1433,2114,2269,2539,2198,1521,0
